,rho,rule,complete,missing,N,E,T_h
30,0.15,TNE,True,,18.0,59.131296494139775,9.104448855127403
31,0.15,NET,True,,18.0,59.131296494139775,9.104448855127403
32,0.15,ENT,True,,19.0,59.0339425635166,9.56666042817052
33,0.16,TNE,True,,18.0,59.131296494139775,9.104448855127403
34,0.16,NET,True,,18.0,59.131296494139775,9.104448855127403
35,0.16,ENT,True,,19.0,59.0339425635166,9.56666042817052
36,0.17,TNE,True,,18.0,59.131296494139775,9.104448855127403
37,0.17,NET,True,,18.0,59.131296494139775,9.104448855127403
38,0.17,ENT,True,,19.0,59.0339425635166,9.56666042817052
39,0.18,TNE,True,,18.0,59.131296494139775,9.104448855127403
40,0.18,NET,True,,18.0,59.131296494139775,9.104448855127403
41,0.18,ENT,True,,19.0,59.0339425635166,9.56666042817052
42,0.19,TNE,True,,18.0,59.131296494139775,9.104448855127403
43,0.19,NET,True,,18.0,59.131296494139775,9.104448855127403
44,0.19,ENT,True,,19.0,59.0339425635166,9.56666042817052
45,0.2,TNE,True,,18.0,59.131296494139775,9.104448855127403
46,0.2,NET,True,,18.0,59.131296494139775,9.104448855127403
47,0.2,ENT,True,,19.0,59.0339425635166,9.56666042817052
48,0.21,TNE,True,,18.0,59.131296494139775,9.104448855127403
49,0.21,NET,True,,18.0,59.131296494139775,9.104448855127403
50,0.21,ENT,True,,19.0,59.0339425635166,9.56666042817052
51,0.22,TNE,True,,18.0,59.131296494139775,9.104448855127403
52,0.22,NET,True,,18.0,59.131296494139775,9.104448855127403
53,0.22,ENT,True,,19.0,59.0339425635166,9.56666042817052
54,0.23,TNE,True,,18.0,59.131296494139775,9.104448855127403
55,0.23,NET,True,,18.0,59.131296494139775,9.104448855127403
56,0.23,ENT,True,,19.0,59.0339425635166,9.56666042817052
57,0.24,TNE,True,,19.0,61.16473160480671,9.599905420990211
58,0.24,NET,True,,19.0,61.07338784825168,9.601572087656878
59,0.24,ENT,True,,21.0,60.866832944775794,10.52884771116838
60,0.25,TNE,True,,19.0,61.16473160480671,9.599905420990211
61,0.25,NET,True,,19.0,61.07338784825168,9.601572087656878
62,0.25,ENT,True,,21.0,60.866832944775794,10.52884771116838
63,0.26,TNE,True,,19.0,61.16473160480671,9.599905420990211
64,0.26,NET,True,,19.0,61.07338784825168,9.601572087656878
65,0.26,ENT,True,,20.0,60.96418687539897,10.066636138125265
66,0.27,TNE,True,,19.0,61.16473160480671,9.599905420990211
67,0.27,NET,True,,19.0,61.07338784825168,9.601572087656878
68,0.27,ENT,True,,20.0,60.96418687539897,10.066636138125265
69,0.28,TNE,True,,20.0,65.3340067721683,10.135294167223973
70,0.28,NET,True,,20.0,65.24266301561326,10.13696083389064
71,0.28,ENT,True,,24.0,64.82245537059248,12.032544944948157
72,0.29,TNE,True,,20.0,67.22759022628541,10.162826968534196
73,0.29,NET,True,,20.0,67.22759022628541,10.162826968534196
74,0.29,ENT,True,,26.0,66.5186024045072,12.912620093955773
75,0.3,TNE,True,,20.0,67.22759022628541,10.162826968534196
76,0.3,NET,True,,20.0,67.22759022628541,10.162826968534196
77,0.3,ENT,True,,26.0,66.5186024045072,12.912620093955773
