,rho,area,g,qmax
1720,0.43,S004,B,
1721,0.43,S004,C,
1722,0.43,S005,A,25.0
1723,0.43,S005,B,30.0
1724,0.43,S005,C,67.68923800761182
1725,0.43,S006,A,25.0
1726,0.43,S006,B,30.0
1727,0.43,S006,C,80.0
1728,0.43,S007,A,25.0
1729,0.43,S007,B,30.0
1730,0.43,S007,C,78.1526371002213
1731,0.43,S008,A,
1732,0.43,S008,B,
1733,0.43,S008,C,
1734,0.43,S009,A,25.0
1735,0.43,S009,B,29.30659389932994
1736,0.43,S009,C,60.18568770477307
1737,0.43,S010,A,25.0
1738,0.43,S010,B,30.0
1739,0.43,S010,C,75.3015335357354
1740,0.43,S011,A,25.0
1741,0.43,S011,B,30.0
1742,0.43,S011,C,80.0
1743,0.43,S012,A,
1744,0.43,S012,B,7.313341883716691
1745,0.43,S012,C,
1746,0.43,S013,A,25.0
1747,0.43,S013,B,30.0
1748,0.43,S013,C,74.78502194988785
1749,0.43,S014,A,25.0
1750,0.43,S014,B,28.469764979475674
1751,0.43,S014,C,60.97650398883856
1752,0.43,S015,A,22.378236622965904
1753,0.43,S015,B,24.270334803866096
1754,0.43,S015,C,48.75164737561195
1755,0.44,S001,A,25.0
1756,0.44,S001,B,30.0
1757,0.44,S001,C,80.0
1758,0.44,S002,A,
1759,0.44,S002,B,6.790478903173615
1760,0.44,S002,C,
1761,0.44,S003,A,
1762,0.44,S003,B,0.766552316987252
1763,0.44,S003,C,
1764,0.44,S004,A,
1765,0.44,S004,B,
1766,0.44,S004,C,
1767,0.44,S005,A,25.0
1768,0.44,S005,B,30.0
1769,0.44,S005,C,65.8675433257561
1770,0.44,S006,A,25.0
1771,0.44,S006,B,30.0
1772,0.44,S006,C,80.0
1773,0.44,S007,A,25.0
1774,0.44,S007,B,30.0
1775,0.44,S007,C,76.8190454382842
1776,0.44,S008,A,
1777,0.44,S008,B,
1778,0.44,S008,C,
1779,0.44,S009,A,25.0
1780,0.44,S009,B,28.49179850930963
1781,0.44,S009,C,57.949264666437905
1782,0.44,S010,A,25.0
1783,0.44,S010,B,30.0
1784,0.44,S010,C,73.8525775343432
1785,0.44,S011,A,25.0
1786,0.44,S011,B,30.0
1787,0.44,S011,C,80.0
1788,0.44,S012,A,
1789,0.44,S012,B,3.844440620775678
1790,0.44,S012,C,
1791,0.44,S013,A,25.0
1792,0.44,S013,B,30.0
1793,0.44,S013,C,73.31835085747761
1794,0.44,S014,A,25.0
1795,0.44,S014,B,27.569236114842294
1796,0.44,S014,C,58.75992941933578
1797,0.44,S015,A,19.93827520271102
1798,0.44,S015,B,23.132535089150764
1799,0.44,S015,C,45.76989958417255
1800,0.45,S001,A,25.0
1801,0.45,S001,B,30.0
1802,0.45,S001,C,80.0
1803,0.45,S002,A,
1804,0.45,S002,B,2.9102962773792638
1805,0.45,S002,C,
1806,0.45,S003,A,
1807,0.45,S003,B,
1808,0.45,S003,C,
1809,0.45,S004,A,
1810,0.45,S004,B,
1811,0.45,S004,C,
1812,0.45,S005,A,25.0
1813,0.45,S005,B,30.0
1814,0.45,S005,C,63.91201095822846
1815,0.45,S006,A,25.0
1816,0.45,S006,B,30.0
1817,0.45,S006,C,80.0
1818,0.45,S007,A,25.0
1819,0.45,S007,B,30.0
1820,0.45,S007,C,75.39940209022701
1821,0.45,S008,A,
1822,0.45,S008,B,
1823,0.45,S008,C,
1824,0.45,S009,A,25.0
1825,0.45,S009,B,27.615885787793626
1826,0.45,S009,C,55.53033891815212
1827,0.45,S010,A,25.0
1828,0.45,S010,B,30.0
1829,0.45,S010,C,72.3074568574481
1830,0.45,S011,A,25.0
1831,0.45,S011,B,30.0
1832,0.45,S011,C,80.0
1833,0.45,S012,A,
1834,0.45,S012,B,
1835,0.45,S012,C,
1836,0.45,S013,A,25.0
1837,0.45,S013,B,30.0
1838,0.45,S013,C,71.7538928783506
1839,0.45,S014,A,25.0
1840,0.45,S014,B,26.59813953376666
1841,0.45,S014,C,56.36876569910325
1842,0.45,S015,A,17.194591136710898
1843,0.45,S015,B,21.89483778577497
1844,0.45,S015,C,42.507648277153834
